Group,Type,Biomass,PB,QB,EE_published,BioAcc
Sea birds,0,0.02,5.4,80.0,0.0,0
Negaprion brevirostris,0,0.17,0.228,3.7,0.0,0
Ginglymostoma cirratum,0,1.8,0.217,3.6,0.8202765999999999,0.3204
Lutjanus jocu,0,2.22,0.522,6.300000000000001,0.005451954,0
Cephalopholis fulva,0,0.2,0.65,5.51,0.9475340999999999,0.06
Carangidae,0,2.12,0.618,13.200000000000001,0.6017987,0.636
Acanthurus spp.,0,9.86,0.8280000000000001,12.9,0.2776859,-0.24650000000000002
Stegastes rocasensis,0,0.46,1.25,17.1,0.6745502999999999,0.027600000000000003
Thalassoma noronhanum,0,0.2,1.192,16.400000000000002,0.7892612,-0.005
Abudefduf saxatilis,0,0.99,0.892,13.0,0.4511515,-0.0495
Sparisoma spp.,0,1.1300000000000001,0.648,7.2,0.1974622,0.113
Melichthys niger,0,0.27,0.764,11.600000000000001,0.5151821,0.08100001
Kyphosus spp.,0,0.46,0.621,24.400000000000002,0.11058499999999999,0
Mulloidichthys martinicus,0,0.41600000000000004,0.719,11.100000000000001,0.6007829,0.16640000000000002
Holocentrus adscensionis,0,2.118,0.75,8.3,0.9771508999999999,0.59304
Haemulidae,0,0.962,0.792,11.600000000000001,0.8370105999999999,0.12506
Small omnivore fish,0,0.79,1.87,10.57,0.2645534,-0.23700000000000002
Turtles,0,0.022,0.29,2.35,0.0,0
Cephalopoda,0,0.405,6.4,36.5,0.9477779,0
Panulirus spp.,0,5.1000000000000005,1.28,7.4,0.3568416,0
Benthic macroinvertebrates,0,16.70362,3.8000000000000003,10.0,0.9,0
Benthic microinvertebrates,0,25.69028,4.94,16.69,0.85,0
Siderastrea stellata,0,0.711,1.6600000000000001,9.4,0.0,0
Zooplankton,0,0.23750000000000002,87.0,160.0,0.9350094999999999,0
Phytoplankton,1,0.13,109.5,,0.700587,0
Digenea simplex,1,211.638,274.0,,0.0009388651,0
Other algal turf,1,802.3125,323.0,,0.0004135855,0
Detritus,2,1.0,,,0.001808113,0
