Group_number,Species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,Sea birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Negaprion brevirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ginglymostoma cirratum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Lutjanus jocu,0,0.14732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Cephalopholis fulva,0,0.01578428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Carangidae,0.1,0.06313714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Acanthurus spp.,0.049999999999999996,0.1999343,0.1738906,0.049619449999999996,0.2191925,0.05338253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Stegastes rocasensis,0,0.0,0,0.0,0.0438385,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Thalassoma noronhanum,0,0,0,0,0.05479813,0.005338253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Abudefduf saxatilis,0,0,0,0.009916207000000002,0.01003902,0.01067651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Sparisoma spp.,0,0.07365999,0.06955625,0,0.05479813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Melichthys niger,0,0.04209142,0.01004299,0.009960514,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Kyphosus spp.,0,0.08418284,0.011592709999999999,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Mulloidichthys martinicus,0,0.02104571,0,0,0.01095962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Holocentrus adscensionis,0,0.04146005,0.011592709999999999,0.037411,0.03287887,0.01067651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Haemulidae,0.0,0.001036501,0.05796354,0.02977167,0.02191925,0.001067651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Small omnivore fish,0.01,0.0,0,0.0,0.09863662,0.0001067651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Turtles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Cephalopoda,0.14,0.04209142,0.12751980000000002,0.01992103,0.01095962,0.04270602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Panulirus spp.,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Benthic macroinvertebrates,0.1,0.1052286,0.278225,0.3969556,0.27399060000000003,0.1703287,0,0,0.1,0,0,0,0,0.15000000000000002,0.7300000000000001,0.26,0,0.2,0.7000000000000001,0.2,0,0,0,0
22,Benthic microinvertebrates,0.1,0.05261428,0.10897150000000001,0.27786900000000003,0.08767699,0.3736777,0.1,0.03,0.5,0.30000000000000004,0.04,0.12000000000000001,0.02,0.6900000000000001,0.24000000000000002,0.65,0.21000000000000002,0.30000000000000004,0.30000000000000004,0.35000000000000003,0.30000000000000004,0,0,0
23,Corals,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
24,Zooplankton,0,0,0,0,0,0.06405903,0,0,0.1,0.21000000000000002,0,0.11000000000000001,0.03,0.16,0.03,0,0.12000000000000001,0,0,0,0,0,0.1,0
25,Phytoplankton,0,0,0,0,0,0,0,0,0,0.11000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4
26,Macroalgae,0,0,0,0,0,0,0.2,0.36000000000000004,0,0.09,0.29000000000000004,0.7000000000000001,0.8700000000000001,0,0,0,0.04,0.1,0,0,0.1,0,0,0
27,Algal turfs,0,0,0,0,0,0,0.6000000000000001,0.5900000000000001,0.30000000000000004,0.2,0.23,0.06999999999999999,0.04,0,0,0,0.39,0.2,0,0.25,0.25,0.30000000000000004,0,0
28,Detritus,0,0,0,0,0,0.1067651,0.1,0.02,0,0.09,0.44000000000000006,0,0.04,0,0,0,0.24000000000000002,0.14,0,0.15000000000000002,0.35000000000000003,0.7000000000000001,0.45,0.6000000000000001
,Import,0.5,0.11041350000000001,0.1506449,0.16857550000000002,0.08031213,0.1601476,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.25,0
